Model,Accuracy,Precision,Recall,F1 Score
KNN,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846
Gradient Boosting,0.7532467532467533,0.6818181818181818,0.5555555555555556,0.6122448979591837
Random Forest,0.7467532467532467,0.6595744680851063,0.5740740740740741,0.6138613861386139
SVM,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454
